Which command lists files and directories in a Unix terminal?|ls|dir|list|show|0|The answer is A: ls.
What does the shell operator || do?|redirects output|pipes stdout to stdin|splits input|forks a process|1|The answer is B: it pipes stdout of one command to stdin of the next.
Which C keyword exits a loop immediately?|exit|stop|break|return|2|The answer is C: break.
What does malloc return on failure?|0|an empty buffer|NULL|-1|2|The answer is C: NULL.
In C, what is the size of a char in bytes?|2|4|8|1|3|The answer is D: 1 byte.
What does the tci_strlen function return?|A pointer to the string|The number of bytes until the null terminator|The allocated size of the string|The ASCII value of the first character|1|The answer is B: the number of bytes until the null terminator.
Which file descriptor is standard output?|0|2|3|1|3|The answer is D: 1.
What does write() return on success?|0|The number of bytes written|A pointer to the buffer|1|1|The answer is B: the number of bytes written.
Which ANSI escape sequence resets terminal colour?|033[1m|033[0m|033[33m|033[2J|1|The answer is B: \033[0m.
In a Makefile, what does .PHONY declare?|A file that will never be created|A target that does not correspond to a file|A variable|A pattern rule|1|The answer is B: a target that does not correspond to a file.
What does tci_getline return at end-of-file?|An empty string|0|-1|NULL|3|The answer is D: NULL.
Which operator in C tests a single bit?|^|~|&||&|2|The answer is C: bitwise AND.
What does the Fisher-Yates shuffle guarantee?|Alphabetical order|A uniform random permutation|The same sequence every run|Sorted descending order|1|The answer is B: a uniform random permutation.
What does realloc(NULL, n) do?|Returns NULL|Crashes|Behaves like malloc(n)|Returns a zero-filled buffer|2|The answer is C: it behaves exactly like malloc(n).
Which C standard is used throughout this curriculum?|C89|C11|C17|C99|3|The answer is D: C99.
In SDL2, what does SDL_UpdateTexture do?|Destroys the texture|Uploads a pixel buffer to the GPU|Creates a new texture|Clears the renderer|1|The answer is B: it uploads your pixel buffer to the GPU.
In the SDL2 pixel format ARGB8888, which byte position holds alpha?|Bits 0-7|Bits 8-15|Bits 16-23|Bits 24-31|3|The answer is D: bits 24-31 -- the most significant byte.
What escape condition does the Mandelbrot iteration check?|re^2 + im^2 > 2|re^2 + im^2 >= 4|re^2 + im^2 > 4|re + im > 4|2|The answer is C: strictly greater than 4, not >= 4.
In HSV colour, what does H stand for?|Hardness|Hue|Highlight|Haze|1|The answer is B: Hue -- position on the colour wheel from 0 to 360 degrees.
In a pixel buffer of width W, how is pixel (x, y) addressed?|x + y * H|x * W + y|y * W + x|x + y|2|The answer is C: y * W + x.
